Category,Description,Use,Type,Source,Web-Source,Availability,Coverage (GEO),Resolution,Last updated,Update Turnus,Includes Non-Residential,"Comment (Resolution, Quality,..)"
Building footprints,2D polygons of the building footprint,Geometric calculations and estimations involving individual and gross floor area,Primary,Open Street Map (OSM),http://download.geofabrik.de/europe/switzerland.html,Open,National,Bulding level,in the last 24hrs,Very regularly ,Yes,
Building footprints,,,,swissBUILDINGS3D 1.0,https://shop.swisstopo.admin.ch/en/products/landscape/build3D,Commercial/Academic,National,Building level,2007,No planned update,Yes,Multiple formats available
Building height,Height of the building. Often comprised of two measurements - eave height and ridge height,Used to construct 3D volumes and surfaces from 2D data,Primary ,swissBUILDINGS3D 1.0,https://shop.swisstopo.admin.ch/en/products/landscape/build3D,Commercial/Academic,National,Building level,2007,No planned update,Yes,Multiple formats available
3D building model,3D volumetric model of the building comprised of surfaces. Varying levels of detail,Provides geometric information about the outer shape of the building,Primary,swissBUILDINGS3D 2.0,https://shop.swisstopo.admin.ch/en/products/landscape/build3D2,Commercial/Academic,National,Building level (LoD 2),2015,Every 6 years,Yes,Multiple formats available
Digital elevation model,Evenly spaced elevation values referenced to a projection or coordinate system,Determines the horizon line and location of shading objects for radiation calculations,Primary,SwissSurface3D,https://shop.swisstopo.admin.ch/en/products/height_models/surface3d,Commercial/Academic,National,15/20 pts/m2,Unknown,Unknown,NA, 
Built form,Descriptive information about the relationship with other buildings,Determines the boundary conditions for simulation by identifying shared and exposed walls,Primary,GEAK,https://www.geak.ch/Pages/GEAK/System/InformationPage.aspx,Commercial,"~60,000 dwellings",Building level,Unknown,Unknown,No,Survey data for energy certification of residential buildings
Thermal envelope,Detailed information on the construction and materials used in the elements of the building envelope,The thermophysical properties of the building elements are used in the simulation to calculate heat flows,Primary ,GEAK,https://www.geak.ch/Pages/GEAK/System/InformationPage.aspx,Commercial,"~60,000 dwellings",Building level,Unknown,Unknown,No,Survey data for energy certification of residential buildings
Building age,Age of the building or time since the last retrofit,Infer typical building materials based on regulations at the time of construction/refurbishment,Secondary,Federal Register of Buildings and Housing (GWR) – Gebaude,https://www.bfs.admin.ch/bfs/de/home/register/gebaeude-wohnungsregister.html,Governmental/Academic restrictions apply,National,Building level,2017,Approx every 2 years,No, Buildings records are listed by their unique identification EGID. 13 Age catergories between 1919 and 2015. 10 of which are after 1960.
Building use,Usage category of a building,"Used to determine internal schedules, temperature and humidity set points required for simulation",Secondary,Federal Register of Buildings and Housing (GWR) – Gebaude,https://www.bfs.admin.ch/bfs/de/home/register/gebaeude-wohnungsregister.html,Governmental/Academic restrictions apply,National,Building level,2017,Approx every 2 years,No," Residential buildings are categorised as Single Family Home, Multi Family Home, Residential Building with Side Usage and Building with partially residential usage."
Building use,,,,STATENT ,https://www.bfs.admin.ch/bfs/de/home/statistiken/industrie-dienstleistungen/erhebungen/statent.html,Governmental/Academic restrictions apply,National,Building level,2019,Every 20 months,Yes,"Provides information on the structure of the Swiss Economy. Provides information on the number of people working, full time and total. Contains the coordinates of the building location and the business sector assosciated with the building"
Occupant Composition,"Detailed information about the number, type, age-group of the inhabitants of the building",Used to determine load schedules specific to an occupant type,Secondary,Federal Register of Buildings and Housing (GWR) – Wohnung,https://www.bfs.admin.ch/bfs/de/home/statistiken/bau-wohnungswesen/erhebungen/gws2009.html,Governmental/Academic restrictions apply,National,Building level,2019,Approx every 2 years,No, This data can be linked to the Gebaude (Building) data through the EGID identified. The dataset contains a household composition variable.
Tenure,"Provides information on whether the house is owner occupied, rented or is a social housing","Used to infer information about construction, refurbishment status or sceduling",Secondary,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified 
Building Energy System,"Existence and parameters of energy systems (Renewables, HVAC, Lighting and DHW) in the building.",Used in calculations to determine the effciency of the energy system and resulting demand profiles,Primary/Secondary ,GEAK,https://www.geak.ch/Pages/GEAK/System/InformationPage.aspx,Commercial,"~60,000 dwellings",Building level,Unknown,Unknown,No,Survey data for energy certification of residential buildings
Building Energy System,,,,Federal Register of Buildings and Housing (GWR) – Gebaude,https://www.bfs.admin.ch/bfs/de/home/register/gebaeude-wohnungsregister.html,Governmental/Academic restrictions apply,National,Building level,2017,Approx every 2 years,No,"Information is provided on the heating system, with 7 categories including space heating. The presence of hotwater is also recorded, but there are no details on the system. The energy carrier/fuel for heating is also specified."
Address Data,The street address of a building,"Can be used for aggregation, clustering and linking. Address data could also be used to infer information about the age or use of a building.",Secondary,Register of Buildings and Dwellings,https://map.geo.admin.ch,Open – usage restictions apply,National,Building level,2020,Regularly,Yes,"Register of Buildings and Dwellings can be downloaded as a .csv for each canton individually. It contains records for each building in the canton, providing the unique EGID number and the address. Easting and Northing coords are provided using CH1903+/LV95 projection"
Building Typology,Parameterised buildings models representing a specific category,Used to populate the parameters of missing or questionable data records,Tertiary,Community typology ARE,https://opendata.swiss/de/dataset/gemeindetypologie-are,Open ,NA,NA,NA,NA,No," A shape file which contains the urban typology of the buildings contained withing. e.g. Large Urban, Secondary Urban Centers, Rural, Tourist etc."
Stock Development,"Rates for a new building construction, building demolition and/or building refurbishment.",The stock development data acts as independet parameter that 'drives' a possible stock development forecast.,Tertiary,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified 
Energy Generation and Distribution,The availability and description of district heating or external energy resources (e.g. CHP) as well as grid accessibility.,Used to evaluate the reliance and influence of the building on external energy systems,NA,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified ,No source identified 
Weather Data,Environmental variables experienced by the building over the simulated period,Directly used in the simulation to determine boundary conditions and heat flows,Primary ,Climate One Building,http://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/,Open ,National,NA,Varies across regions,NA,NA,Contains weather files in formats specifically for building energy simulation. 
